,Timestamp,Chilled Water Rate (L/sec),Cooling Water Temperature (C),Building Load (RT),Chiller Energy Consumption (kWh),Outside Temperature (F),Dew Point (F),Humidity (%),Wind Speed (kmh),Pressure (mm)
0,2014-08-09 00:00:00,82.17599999999999,30.458,465.212,123.17200000000001,86,79,83.74000000000001,27.040000000000006,833.4502
1,2014-08-09 00:30:00,80.928,30.167,446.491,121.37,86,79,83.74000000000001,24.960000000000004,833.4502
2,2014-08-09 01:00:00,81.216,30.361,448.52799999999996,123.808,86,79,83.74000000000001,24.960000000000004,833.4502
3,2014-08-09 01:30:00,81.408,30.458,444.745,124.02000000000001,86,79,83.74000000000001,24.960000000000004,833.4502
4,2014-08-09 02:00:00,81.312,30.458,441.73799999999994,124.02000000000001,86,79,83.74000000000001,24.960000000000004,833.4502
5,2014-08-09 02:30:00,81.024,30.458,440.671,123.70200000000001,86,81,89.04,24.960000000000004,833.4502
6,2014-08-09 03:00:00,82.944,30.555,452.117,126.14,86,79,83.74000000000001,24.960000000000004,833.4502
7,2014-08-09 03:30:00,85.53599999999999,30.846,463.078,129.956,86,81,89.04,18.720000000000002,833.4502
8,2014-08-09 04:00:00,85.53599999999999,30.846,459.101,129.532,86,81,89.04,20.8,832.612
9,2014-08-09 04:30:00,85.728,30.942999999999998,464.436,130.698,86,81,89.04,24.960000000000004,832.612
10,2014-08-09 05:00:00,84.0,30.942999999999998,457.74299999999994,129.108,86,81,89.04,24.960000000000004,832.612
11,2014-08-09 05:30:00,81.312,30.652,442.41700000000003,124.44400000000002,86,81,89.04,20.8,833.4502
12,2014-08-09 06:00:00,81.11999999999999,30.652,444.45399999999995,124.656,86,81,89.04,20.8,833.4502
13,2014-08-09 06:30:00,81.024,30.555,446.297,124.86800000000001,86,79,83.74000000000001,20.8,833.4502
14,2014-08-09 07:00:00,84.864,30.846,472.97200000000004,129.214,86,79,83.74000000000001,20.8,834.2884
15,2014-08-09 07:30:00,92.352,31.622,535.343,137.906,86,81,89.04,20.8,834.2884
16,2014-08-09 08:00:00,94.08,31.815999999999995,552.124,137.27,88,81,83.74000000000001,27.040000000000006,834.2884
17,2014-08-09 08:30:00,91.392,31.622,542.521,132.288,90,81,78.44,24.960000000000004,835.1266
18,2014-08-09 09:00:00,91.96799999999999,31.719,545.043,133.24200000000002,90,81,78.44,24.960000000000004,835.1266
19,2014-08-09 09:30:00,93.696,31.815999999999995,558.72,137.69400000000002,92,81,74.2,20.8,835.1266
20,2014-08-09 10:00:00,92.928,32.01,558.526,138.11800000000002,92,81,74.2,20.8,835.1266
21,2014-08-09 10:30:00,95.232,32.397999999999996,578.799,145.008,92,81,74.2,24.960000000000004,835.1266
22,2014-08-09 11:00:00,98.68799999999999,32.689,593.4459999999999,152.00400000000002,94,79,65.72,20.8,834.2884
23,2014-08-09 11:30:00,98.496,32.397999999999996,584.522,147.552,95,76,55.120000000000005,29.12,834.2884
24,2014-08-09 12:00:00,98.01599999999999,32.300999999999995,578.0229999999999,145.962,94,76,58.300000000000004,24.960000000000004,834.2884
25,2014-08-09 12:30:00,96.672,31.912999999999997,564.734,139.92000000000002,94,76,58.300000000000004,24.960000000000004,834.2884
26,2014-08-09 13:00:00,96.192,31.815999999999995,561.4359999999999,138.33,95,76,55.120000000000005,20.8,833.4502
27,2014-08-09 13:30:00,96.47999999999999,32.01,565.413,141.93400000000003,94,74,55.120000000000005,27.040000000000006,833.4502
28,2014-08-09 14:00:00,96.0,31.912999999999997,563.764,138.33,95,74,51.940000000000005,29.12,832.612
29,2014-08-09 14:30:00,96.384,32.204,569.002,142.676,95,72,48.760000000000005,29.12,832.612
30,2014-08-09 15:00:00,96.384,32.204,572.688,142.78199999999998,95,63,36.04,35.36000000000001,832.612
31,2014-08-09 15:30:00,95.03999999999999,31.330999999999996,547.274,132.606,95,67,40.28,31.200000000000003,832.612
32,2014-08-09 16:00:00,93.98400000000001,30.749,535.052,126.034,94,72,51.940000000000005,33.28,832.612
33,2014-08-09 16:30:00,92.928,30.361,523.897,121.052,94,74,55.120000000000005,31.200000000000003,831.7737999999999
34,2014-08-09 17:00:00,92.928,30.167,517.495,118.72,92,74,58.300000000000004,33.28,831.7737999999999
35,2014-08-09 17:30:00,92.73599999999999,30.555,521.6659999999999,121.58200000000001,92,72,55.120000000000005,31.200000000000003,832.612
36,2014-08-09 18:00:00,92.448,30.458,513.5179999999999,120.628,92,70,51.940000000000005,29.12,832.612
37,2014-08-09 18:30:00,92.16,30.555,517.01,120.946,90,76,65.72,27.040000000000006,832.612
38,2014-08-09 19:00:00,89.472,30.555,503.139,121.79400000000001,88,76,69.96000000000001,24.960000000000004,832.612
39,2014-08-09 19:30:00,86.784,30.07,481.99299999999994,123.17200000000001,88,77,74.2,24.960000000000004,832.612
40,2014-08-09 20:00:00,86.592,30.167,488.589,117.97800000000001,88,77,74.2,24.960000000000004,833.4502
41,2014-08-09 20:30:00,86.496,30.07,487.522,117.66000000000001,88,77,74.2,20.8,833.4502
42,2014-08-09 21:00:00,85.152,29.488,470.935,112.148,86,79,83.74000000000001,20.8,834.2884
43,2014-08-09 21:30:00,85.056,29.391,461.71999999999997,116.81200000000001,86,77,78.44,18.720000000000002,834.2884
44,2014-08-09 22:00:00,88.032,30.07,489.268,123.066,86,77,78.44,18.720000000000002,834.2884
45,2014-08-09 22:30:00,90.144,30.458,503.527,120.416,86,79,83.74000000000001,16.64,834.2884
46,2014-08-09 23:00:00,90.144,30.361,501.684,119.462,86,79,83.74000000000001,14.56,834.2884
47,2014-08-09 23:30:00,90.04799999999999,30.361,501.78099999999995,118.826,86,77,78.44,14.56,835.1266
48,2014-08-10 00:00:00,85.728,29.973,467.055,116.60000000000001,86,77,78.44,18.720000000000002,835.1266
49,2014-08-10 00:30:00,78.912,29.197,416.32399999999996,110.77000000000001,86,77,78.44,16.64,834.2884
50,2014-08-10 01:00:00,79.67999999999999,29.488,422.435,113.31400000000001,86,79,83.74000000000001,16.64,834.2884
51,2014-08-10 01:30:00,79.584,29.585,420.97999999999996,114.48,86,77,78.44,18.720000000000002,834.2884
52,2014-08-10 02:00:00,79.392,29.488,415.354,111.93599999999999,86,77,78.44,14.56,834.2884
53,2014-08-10 02:30:00,79.104,29.197,411.183,109.92200000000001,86,77,78.44,16.64,834.2884
54,2014-08-10 03:00:00,81.11999999999999,29.197,421.85299999999995,110.346,85,77,83.74000000000001,16.64,834.2884
55,2014-08-10 03:30:00,83.52,29.391,432.32899999999995,114.586,85,77,83.74000000000001,14.56,833.4502
56,2014-08-10 04:00:00,83.32799999999999,29.391,426.121,113.95,85,79,89.04,12.480000000000002,833.4502
57,2014-08-10 04:30:00,83.52,29.391,428.837,114.162,85,79,89.04,12.480000000000002,833.4502
58,2014-08-10 05:00:00,83.80799999999999,29.488,432.62,115.22200000000001,86,79,83.74000000000001,12.480000000000002,833.4502
59,2014-08-10 05:30:00,85.34400000000001,29.876,457.74299999999994,121.58200000000001,86,79,83.74000000000001,14.56,834.2884
60,2014-08-10 06:00:00,85.056,29.973,452.69899999999996,121.37,86,79,83.74000000000001,14.56,834.2884
